step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
354,CASH_IN,153085.43,C2022210674,15002379.17,15155464.61,C1379239194,664686.37,511600.93,0,0
227,PAYMENT,13636.63,C2093400622,295401.37,281764.75,M1036057675,0.0,0.0,0,0
355,PAYMENT,18128.7,C1249211270,0.0,0.0,M807698694,0.0,0.0,0,0
328,PAYMENT,10262.69,C1137782091,50157.0,39894.31,M1230333437,0.0,0.0,0,0
182,CASH_IN,104909.84,C2014996996,404181.0,509090.84,C588988242,392759.39,287849.56,0,0
277,PAYMENT,4590.98,C538334740,31796.0,27205.02,M1519882437,0.0,0.0,0,0
249,PAYMENT,9656.03,C1688158772,43344.0,33687.97,M1120101873,0.0,0.0,0,0
393,CASH_IN,141652.51,C1068072695,79959.0,221611.51,C1709059329,0.0,0.0,0,0
18,CASH_OUT,186228.11,C1212669369,22099.0,0.0,C2030363577,86726.03,360557.43,0,0
419,TRANSFER,533092.45,C1329946363,533092.45,0.0,C641771382,0.0,0.0,1,0
281,CASH_OUT,24797.52,C1160804980,1864.0,0.0,C1929953648,221270.78,246068.3,0,0
212,CASH_OUT,107626.44,C702776482,10142.0,0.0,C1089805664,0.0,107626.44,0,0
10,TRANSFER,1018201.15,C247156978,0.0,0.0,C1452646606,1600884.72,2619085.87,0,0
369,CASH_IN,396476.32,C218805789,62956.0,459432.32,C553903816,38435.94,0.0,0,0
34,CASH_OUT,243061.9,C56889098,85158.52,0.0,C1623211807,759763.23,1002825.13,0,0
329,PAYMENT,8980.88,C1716596879,457544.0,448563.12,M436351324,0.0,0.0,0,0
546,PAYMENT,8025.25,C192697294,16027.35,8002.1,M473318558,0.0,0.0,0,0
209,CASH_OUT,510791.83,C227975141,0.0,0.0,C1061009915,908318.79,1419110.62,0,0
284,PAYMENT,5738.67,C1729360384,163427.2,157688.53,M1771075953,0.0,0.0,0,0
130,CASH_OUT,3891.26,C1182193290,0.0,0.0,C424605810,1878051.63,1866360.83,0,0
48,CASH_OUT,147267.01,C1556029086,147267.01,0.0,C1479614331,107418.0,64210.56,1,0
134,PAYMENT,1451.24,C989927464,0.0,0.0,M252563453,0.0,0.0,0,0
567,CASH_IN,252626.0,C391858071,5283770.74,5536396.74,C2122493657,345681.94,93055.93,0,0
298,CASH_OUT,146542.85,C1229252278,31273.0,0.0,C1453785863,0.0,146542.85,0,0
300,PAYMENT,3226.21,C1776605360,305754.52,302528.3,M1197487150,0.0,0.0,0,0
356,CASH_IN,197708.88,C1911253799,33760.0,231468.88,C892966493,0.0,0.0,0,0
13,CASH_OUT,339533.84,C286176194,21768.0,0.0,C1707051493,388428.93,727962.77,0,0
403,CASH_OUT,9351.28,C1441586241,0.0,0.0,C2139356892,4463288.69,4472639.96,0,0
226,CASH_IN,335265.58,C1770427164,167.0,335432.58,C2106282465,128877.49,0.0,0,0
158,CASH_OUT,270558.0,C1300061230,50226.0,0.0,C726198580,127569.61,398127.61,0,0
402,CASH_OUT,168606.73,C71293457,33030.0,0.0,C1225327699,8023998.93,8192605.65,0,0
48,TRANSFER,5489302.04,C806769154,5489302.04,0.0,C519182481,0.0,0.0,1,0
209,CASH_IN,32326.71,C943517264,6868639.46,6900966.17,C348344795,431696.85,399370.14,0,0
306,TRANSFER,398118.13,C655423434,0.0,0.0,C1022135968,5008223.38,5406341.51,0,0
354,CASH_OUT,41867.62,C176801871,20364.0,0.0,C1604025969,751815.67,793683.29,0,0
399,CASH_IN,81820.1,C470681289,27524360.24,27606180.34,C611492581,543102.71,461282.61,0,0
301,PAYMENT,16628.14,C1023236974,98790.0,82161.86,M76995926,0.0,0.0,0,0
346,PAYMENT,6840.81,C1942021741,37656.59,30815.78,M147478140,0.0,0.0,0,0
38,CASH_IN,63889.59,C613912926,19661417.39,19725306.97,C1471875611,354771.08,290881.49,0,0
330,CASH_OUT,139891.98,C85904931,12662.0,0.0,C740657914,1832992.67,1972884.65,0,0
287,TRANSFER,35530.24,C1597115425,4584.0,0.0,C452682113,0.0,35530.24,0,0
301,CASH_IN,295890.44,C182486199,2431940.08,2727830.53,C246358029,966997.28,671106.83,0,0
182,CASH_OUT,69050.04,C1171426938,9524.0,0.0,C1956108610,1641172.24,1710222.28,0,0
387,TRANSFER,531551.0,C1042923577,531551.0,0.0,C1609500749,0.0,0.0,1,0
378,CASH_OUT,178092.76,C86887691,0.0,0.0,C69754392,350926.5,529019.26,0,0
210,CASH_OUT,49718.52,C1154576336,25090.0,0.0,C1585722853,27412.0,77130.52,0,0
183,CASH_IN,121919.22,C1305448444,5061134.07,5183053.3,C183416430,1577983.55,1456064.33,0,0
374,CASH_IN,197770.93,C1578815444,7444.0,205214.93,C661561214,162503.05,0.0,0,0
187,CASH_OUT,215594.24,C1110784072,13111.0,0.0,C208014347,914419.25,1130013.49,0,0
402,CASH_OUT,142327.67,C172874363,9380.0,0.0,C1958579429,12205.96,154533.63,0,0
401,CASH_OUT,72713.78,C477481398,0.0,0.0,C1673499770,1264842.97,1636064.36,0,0
17,DEBIT,3599.31,C211979392,0.0,0.0,C800803718,24086.0,27685.31,0,0
321,PAYMENT,13314.39,C1943472930,53032.12,39717.73,M672690964,0.0,0.0,0,0
132,PAYMENT,20611.98,C319152938,0.0,0.0,M838107693,0.0,0.0,0,0
211,PAYMENT,8335.67,C1707425270,19648.0,11312.33,M1147378893,0.0,0.0,0,0
234,CASH_OUT,5807.32,C455600779,16850.76,11043.44,C1167110144,706133.13,711940.45,0,0
212,CASH_IN,43596.33,C949951101,45.0,43641.33,C532073987,180416.27,136819.94,0,0
237,CASH_IN,130087.84,C1616985054,1757695.62,1887783.46,C37976556,843983.53,713895.7,0,0
22,PAYMENT,12323.9,C775841562,0.0,0.0,M967322441,0.0,0.0,0,0
155,CASH_OUT,257907.88,C417373778,0.0,0.0,C744489754,510537.65,768445.53,0,0
400,CASH_OUT,322919.91,C2065792271,138269.0,0.0,C1700316314,0.0,322919.91,0,0
353,CASH_OUT,254809.96,C47862465,0.0,0.0,C1710427026,374034.16,628844.12,0,0
140,CASH_IN,129581.86,C936118707,3644278.2,3773860.06,C316264040,3473035.88,3343454.03,0,0
252,PAYMENT,11195.22,C655965061,374442.62,363247.4,M508502571,0.0,0.0,0,0
190,PAYMENT,13536.41,C276073876,4267.0,0.0,M2070929573,0.0,0.0,0,0
281,PAYMENT,6668.03,C1936158724,4571.0,0.0,M660743705,0.0,0.0,0,0
209,CASH_OUT,175324.46,C1293117243,357940.0,182615.54,C546916090,1075459.11,1250783.58,0,0
235,PAYMENT,4171.01,C838963647,82428.0,78256.99,M847806945,0.0,0.0,0,0
249,PAYMENT,1896.22,C1284305627,102.0,0.0,M156657379,0.0,0.0,0,0
133,CASH_IN,15934.39,C581363934,7611982.34,7627916.73,C1483338079,5210119.23,5194184.84,0,0
253,PAYMENT,8239.64,C837625076,0.0,0.0,M780802524,0.0,0.0,0,0
492,CASH_IN,123220.99,C1726641995,540280.68,663501.67,C1194672990,760256.01,637035.02,0,0
540,CASH_OUT,236019.77,C179950396,206475.0,0.0,C1900041663,0.0,236019.77,0,0
136,CASH_OUT,1078.25,C1795176884,0.0,0.0,C530966487,784150.4,785228.65,0,0
254,CASH_OUT,59707.07,C1905449051,156061.0,96353.93,C1216408407,466846.73,526553.8,0,0
379,CASH_OUT,361249.35,C2073628909,571.0,0.0,C1017618541,0.0,361249.35,0,0
264,CASH_OUT,57603.18,C577776677,0.0,0.0,C1038040563,371176.16,428779.34,0,0
10,TRANSFER,2228768.98,C2143338350,11597.0,0.0,C9383664,827133.7,2710673.75,0,0
690,TRANSFER,492945.24,C341095950,0.0,0.0,C2008700376,508712.91,1001658.16,0,0
36,PAYMENT,4065.62,C1031920582,350892.82,346827.19,M362929229,0.0,0.0,0,0
306,CASH_OUT,116709.7,C1471871616,0.0,0.0,C2066951623,1200818.9,1317528.59,0,0
328,CASH_IN,44104.05,C1710891988,130801.0,174905.05,C541501898,560409.34,516305.29,0,0
162,CASH_OUT,89220.49,C622330262,11554.0,0.0,C1368674093,2274628.78,2363849.27,0,0
38,TRANSFER,967375.01,C176730120,0.0,0.0,C992713622,4144339.53,5335709.98,0,0
429,PAYMENT,2660.01,C1259958788,13564.0,10903.99,M610819338,0.0,0.0,0,0
283,PAYMENT,8200.36,C1950935786,0.0,0.0,M506331639,0.0,0.0,0,0
212,TRANSFER,349180.2,C846989191,0.0,0.0,C760286982,2471839.6,2821019.8,0,0
273,CASH_OUT,158338.76,C1695023369,0.0,0.0,C2040180928,1206961.9,1365300.66,0,0
42,CASH_IN,376755.08,C1788058499,352386.0,729141.08,C391531987,0.0,119551.63,0,0
239,PAYMENT,21.8,C918610282,153328.0,153306.2,M517532329,0.0,0.0,0,0
226,PAYMENT,2428.08,C834512092,0.0,0.0,M1478623465,0.0,0.0,0,0
325,CASH_OUT,332039.35,C1308932275,0.0,0.0,C199942779,40935594.09,41267633.45,0,0
202,PAYMENT,13847.24,C1139108786,0.0,0.0,M1399567868,0.0,0.0,0,0
36,TRANSFER,1376461.7,C388695573,24487.0,0.0,C562220345,0.0,1376461.7,0,0
705,PAYMENT,10691.83,C1339780085,7246.0,0.0,M699770239,0.0,0.0,0,0
38,PAYMENT,9194.01,C1396166333,0.0,0.0,M1235102545,0.0,0.0,0,0
597,CASH_OUT,10842.67,C1308802431,501197.0,490354.33,C1665794364,0.0,10842.67,0,0
331,CASH_OUT,15551.99,C240839118,0.0,0.0,C326180938,10158515.31,10174067.3,0,0
359,PAYMENT,5455.97,C1038021696,10669.0,5213.03,M2080314540,0.0,0.0,0,0
208,CASH_IN,35986.94,C1316689996,7027608.17,7063595.12,C147165280,49520.68,13533.74,0,0
447,TRANSFER,834592.4,C1391274777,834592.4,0.0,C1330816547,0.0,0.0,1,0
466,TRANSFER,104171.37,C952245558,104171.37,0.0,C2101227966,0.0,0.0,1,0
260,CASH_IN,24737.67,C858547273,24068685.26,24093422.93,C240203404,1919453.59,1894715.92,0,0
154,PAYMENT,3216.14,C1459494595,0.0,0.0,M1763884322,0.0,0.0,0,0
250,CASH_OUT,189509.3,C1134941235,1789.0,0.0,C1429206644,158936.12,348445.42,0,0
277,CASH_OUT,36420.6,C640492983,11650.0,0.0,C555682613,1897757.8,1934178.41,0,0
346,TRANSFER,3459903.85,C1410117508,0.0,0.0,C417686196,4775910.04,8235813.89,0,0
477,CASH_OUT,338293.14,C1232836519,338293.14,0.0,C1361370826,4293922.64,4632215.78,1,0
349,PAYMENT,28237.41,C1371045763,0.0,0.0,M858580776,0.0,0.0,0,0
42,CASH_OUT,252749.12,C1145969782,249453.46,0.0,C991849646,5074846.43,5327595.56,0,0
727,CASH_OUT,69039.64,C1130163945,69039.64,0.0,C1975233272,983882.79,1052922.43,1,0
161,CASH_OUT,335396.9,C2040846069,85417.06,0.0,C216371172,1453127.03,1788523.93,0,0
42,CASH_IN,119793.43,C1648077294,7858015.54,7977808.97,C850085903,1645542.63,1600140.38,0,0
13,CASH_OUT,138275.17,C1328764556,0.0,0.0,C1432387181,2136595.38,2611159.57,0,0
71,TRANSFER,304085.48,C378617827,304085.48,0.0,C1265131322,0.0,0.0,1,0
158,CASH_IN,157282.99,C463781515,932419.23,1089702.22,C183502913,5940937.53,5783654.54,0,0
131,CASH_OUT,153090.0,C1837174228,0.0,0.0,C4989279,557247.78,710337.79,0,0
394,CASH_OUT,36478.18,C1034838045,0.0,0.0,C793672525,239194.26,275672.44,0,0
235,CASH_OUT,87740.73,C358967544,1262.0,0.0,C857005453,96903.67,184644.4,0,0
185,CASH_OUT,23798.34,C1937496036,1334.0,0.0,C1556321345,0.0,23798.34,0,0
204,PAYMENT,5832.18,C1241975758,89219.91,83387.72,M240546649,0.0,0.0,0,0
372,CASH_OUT,204417.83,C1991739477,0.0,0.0,C534662976,4101501.85,4315071.17,0,0
371,CASH_IN,385406.51,C1296712837,230836.0,616242.51,C1536039309,17739069.33,17353662.81,0,0
281,PAYMENT,8957.05,C1156073893,9722.2,765.15,M2120088151,0.0,0.0,0,0
483,PAYMENT,1566.49,C1582615555,3406.0,1839.51,M991479429,0.0,0.0,0,0
42,PAYMENT,21024.3,C714151473,0.0,0.0,M141924823,0.0,0.0,0,0
304,CASH_OUT,178062.37,C1087737598,536.0,0.0,C794779116,1964594.26,2142656.63,0,0
159,DEBIT,16165.03,C1976985225,81154.16,64989.13,C1306178783,92867.18,109032.21,0,0
284,TRANSFER,830803.43,C1340873625,830803.43,0.0,C743070440,0.0,0.0,1,0
257,CASH_OUT,39716.53,C1821799329,19749.0,0.0,C2124927575,247489.48,287206.02,0,0
36,CASH_IN,235698.31,C447001507,6787782.77,7023481.08,C1335212115,1544442.4,1308744.09,0,0
357,CASH_OUT,184699.7,C1274526986,169092.0,0.0,C1689526730,207859.31,392559.01,0,0
321,CASH_OUT,354218.41,C1219168641,9009.0,0.0,C2082084412,4377785.87,4732004.28,0,0
322,DEBIT,4433.66,C598017559,22612.0,18178.34,C698430588,475701.35,480135.0,0,0
141,TRANSFER,164209.77,C1861742997,0.0,0.0,C459985587,208785.75,372995.51,0,0
254,CASH_OUT,230648.76,C200534481,909.0,0.0,C1638386369,0.0,230648.76,0,0
203,CASH_OUT,96785.86,C1959693151,21680.0,0.0,C160280018,370380.23,467166.09,0,0
396,CASH_OUT,176944.87,C1759396631,0.0,0.0,C1210942047,2035461.29,2212406.16,0,0
183,CASH_OUT,94537.35,C287486204,0.0,0.0,C50122709,198031.78,292569.13,0,0
286,PAYMENT,7836.21,C538451164,11228.0,3391.79,M1206623318,0.0,0.0,0,0
256,CASH_OUT,185603.04,C1305743829,18510.0,0.0,C1793205477,121258.01,306861.05,0,0
22,PAYMENT,6238.58,C658352542,52945.0,46706.42,M1251417987,0.0,0.0,0,0
300,CASH_IN,367703.5,C441083148,284248.28,651951.78,C313829701,1920177.57,1552474.08,0,0
188,PAYMENT,5262.62,C326582769,280922.1,275659.47,M1910261239,0.0,0.0,0,0
404,PAYMENT,17297.65,C294615973,1362.0,0.0,M1135373704,0.0,0.0,0,0
255,CASH_IN,64903.8,C1894345169,1021873.57,1086777.37,C1745524680,676222.32,611318.52,0,0
298,CASH_IN,214621.35,C416341787,27552105.24,27766726.59,C1426745518,1511425.63,1296804.28,0,0
138,CASH_OUT,243109.17,C854446310,0.0,0.0,C1405263547,525122.2,768231.37,0,0
491,CASH_OUT,1122827.94,C1274959638,1122827.94,0.0,C870195127,257056.52,1379884.46,1,0
33,CASH_OUT,337351.2,C1208592678,9954.0,0.0,C2027980651,0.0,414919.97,0,0
18,PAYMENT,4428.15,C1452600358,381750.79,377322.64,M739420517,0.0,0.0,0,0
356,PAYMENT,1548.13,C500155737,31421.0,29872.87,M141991126,0.0,0.0,0,0
42,PAYMENT,13263.81,C866278032,0.0,0.0,M1704911424,0.0,0.0,0,0
302,PAYMENT,16740.58,C186060319,0.0,0.0,M483492799,0.0,0.0,0,0
140,PAYMENT,11619.16,C1496211649,0.0,0.0,M1642609870,0.0,0.0,0,0
205,PAYMENT,13910.49,C900931011,155810.51,141900.02,M454888498,0.0,0.0,0,0
134,CASH_OUT,258512.42,C933560745,62487.0,0.0,C1874158646,0.0,258512.42,0,0
249,PAYMENT,3672.75,C1096808768,0.0,0.0,M1233368520,0.0,0.0,0,0
404,PAYMENT,4729.56,C1074738231,602.0,0.0,M1046031142,0.0,0.0,0,0
395,CASH_OUT,49230.66,C994796061,0.0,0.0,C1036775466,149011.89,198242.55,0,0
203,PAYMENT,18386.14,C117991843,0.0,0.0,M1231430731,0.0,0.0,0,0
349,CASH_OUT,107246.96,C1026551202,0.0,0.0,C1833236656,3355125.17,3462372.14,0,0
133,TRANSFER,625542.98,C491699713,868.0,0.0,C342748121,237584.16,863127.13,0,0
179,PAYMENT,3239.68,C152922243,0.0,0.0,M260041027,0.0,0.0,0,0
688,TRANSFER,704104.29,C1209527285,0.0,0.0,C1160019843,4307650.46,5011754.75,0,0
426,TRANSFER,335459.85,C653034600,0.0,0.0,C1905507160,847815.49,1183275.34,0,0
9,CASH_OUT,28357.25,C668566802,7464.0,0.0,C599350419,50234.0,0.0,0,0
59,TRANSFER,192765.49,C267452646,192765.49,0.0,C243306413,0.0,0.0,1,0
347,CASH_OUT,54512.54,C1675003789,198652.0,144139.46,C324782465,117541.0,172053.54,0,0
136,CASH_OUT,155424.72,C292134437,0.0,0.0,C679946991,1163078.86,1318503.58,0,0
136,CASH_IN,515698.93,C435277754,118570.0,634268.93,C624120945,1428814.92,913115.99,0,0
187,CASH_IN,167977.73,C1628825103,49071.0,217048.73,C2143730333,1490289.3,1322311.57,0,0
379,TRANSFER,4445514.2,C1149729385,4445514.2,0.0,C246500623,0.0,0.0,1,0
68,CASH_OUT,374178.28,C712970778,374178.28,0.0,C44247024,616364.57,990542.85,1,0
306,CASH_OUT,2937.97,C794376102,605364.52,602426.55,C2042048075,17938.74,20876.72,0,0
617,CASH_IN,10786.2,C1969339990,2494307.08,2505093.28,C469755281,133108.61,122322.41,0,0
227,PAYMENT,20112.68,C234529941,1052.0,0.0,M1266804093,0.0,0.0,0,0
258,CASH_OUT,57530.01,C328497862,15988.0,0.0,C1158976370,5344864.86,5402394.87,0,0
376,CASH_OUT,8633.77,C1438013633,0.0,0.0,C20482767,17888.0,26521.77,0,0
140,PAYMENT,2456.03,C644287904,14704.09,12248.06,M187726036,0.0,0.0,0,0
597,TRANSFER,219509.3,C1037140638,0.0,0.0,C646202533,1733153.46,1952662.76,0,0
326,PAYMENT,9858.64,C1338081055,0.0,0.0,M1030121781,0.0,0.0,0,0
24,CASH_OUT,6844.73,C2006451816,6844.73,0.0,C1380348902,264100.7,270945.42,1,0
138,PAYMENT,22279.86,C2076981856,198916.0,176636.14,M992493046,0.0,0.0,0,0
234,PAYMENT,25529.43,C1497619506,19872.0,0.0,M1184798668,0.0,0.0,0,0
415,CASH_OUT,13659.45,C443989822,13659.45,0.0,C1408237978,474620.98,488280.42,1,0
251,CASH_OUT,164526.56,C1743030130,100771.0,0.0,C1457744020,131371.25,295897.8,0,0
353,PAYMENT,5388.01,C605557202,0.0,0.0,M553606284,0.0,0.0,0,0
224,CASH_OUT,107351.33,C937130374,107351.33,0.0,C1822662997,3976355.4,4083706.73,1,0
11,CASH_IN,6565.29,C2147147634,2366031.86,2372597.15,C314019925,18862.53,12297.24,0,0
19,CASH_OUT,257522.45,C816395967,0.0,0.0,C113848029,1003543.73,1261066.18,0,0
399,CASH_OUT,95324.22,C452195016,65011.0,0.0,C1730725193,0.0,95324.22,0,0
304,PAYMENT,2287.58,C705831989,153.5,0.0,M1524694085,0.0,0.0,0,0
135,DEBIT,1428.99,C336727493,9111.0,7682.01,C1930736968,767878.26,769307.25,0,0
273,PAYMENT,6407.08,C915402054,36366.0,29958.92,M340331428,0.0,0.0,0,0
14,PAYMENT,12536.86,C383044824,0.0,0.0,M1351719638,0.0,0.0,0,0
258,CASH_OUT,28761.2,C413782484,0.0,0.0,C2081981114,699597.39,728358.59,0,0
646,TRANSFER,10000000.0,C590657619,50399045.08,40399045.08,C1971187430,0.0,0.0,1,0
647,CASH_OUT,964876.58,C334503836,964876.58,0.0,C69373122,203741.11,1168617.69,1,0
277,CASH_OUT,246737.69,C1494708253,15568.0,0.0,C1935104729,168741.76,415479.46,0,0
173,TRANSFER,20311.17,C1987163387,20311.17,0.0,C1935979044,0.0,0.0,1,0
183,CASH_IN,114874.01,C874110441,3234725.29,3349599.3,C1265284050,1614442.77,1499568.76,0,0
165,CASH_OUT,325695.12,C1510849927,0.0,0.0,C1311565766,1863213.8,2188908.91,0,0
11,CASH_OUT,189180.93,C1440922072,24709.68,0.0,C1054410157,422096.3,611277.23,0,0
159,PAYMENT,21459.75,C1478069525,21570.79,111.04,M529894164,0.0,0.0,0,0
351,TRANSFER,422391.61,C2049663598,0.0,0.0,C983307868,1566378.75,1988770.36,0,0
208,TRANSFER,395127.01,C1687479921,6049.0,0.0,C948243200,6036232.27,6431359.28,0,0
236,CASH_OUT,237662.04,C908025132,7581.0,0.0,C6941424,0.0,237662.04,0,0
48,TRANSFER,2078560.34,C726327731,0.0,0.0,C1313582591,11682730.95,13761291.29,0,0
369,DEBIT,9821.73,C668310915,141.0,0.0,C1238159061,22020.47,31842.2,0,0
304,PAYMENT,12486.04,C1226030324,0.0,0.0,M1195493248,0.0,0.0,0,0
11,CASH_OUT,132641.47,C1873817126,0.0,0.0,C995584435,156162.68,288804.15,0,0
139,TRANSFER,376811.09,C1943989302,61118.0,0.0,C329829198,18283846.2,18660657.28,0,0
540,CASH_OUT,169469.22,C1292208841,11222.0,0.0,C1871789676,5716094.29,5885563.51,0,0
237,PAYMENT,1884.77,C1224351853,44688.0,42803.23,M150682876,0.0,0.0,0,0
372,PAYMENT,5399.15,C971697228,171576.95,166177.81,M1003734085,0.0,0.0,0,0
225,CASH_IN,79005.5,C2133843787,40126.0,119131.5,C1818235874,324349.8,245344.3,0,0
354,TRANSFER,118406.55,C1876777551,0.0,0.0,C551713398,125126.63,243533.18,0,0
37,PAYMENT,5380.49,C1981546763,0.0,0.0,M1212367026,0.0,0.0,0,0
301,PAYMENT,13605.18,C973367802,130927.0,117321.82,M1962839439,0.0,0.0,0,0
402,CASH_IN,276604.21,C243921058,3174220.23,3450824.44,C2070949927,2589602.41,2312998.2,0,0
182,CASH_OUT,79592.82,C1599654959,0.0,0.0,C1114975472,179130.1,258722.92,0,0
131,CASH_OUT,186998.22,C1190261077,0.0,0.0,C1676538783,740148.83,927147.05,0,0
300,CASH_OUT,229333.68,C1394378394,0.0,0.0,C133799945,944450.27,1173783.96,0,0
283,PAYMENT,7927.88,C35501959,0.0,0.0,M1668925051,0.0,0.0,0,0
301,TRANSFER,521441.13,C2009410386,0.0,0.0,C791381293,5747789.52,6269230.65,0,0
307,PAYMENT,34462.6,C1415701396,0.0,0.0,M1763872422,0.0,0.0,0,0
687,CASH_OUT,216475.99,C1939416023,0.0,0.0,C1953804173,863217.35,1079693.35,0,0
374,PAYMENT,20757.04,C1065690201,16098.0,0.0,M1576800570,0.0,0.0,0,0
209,PAYMENT,16348.24,C1926918117,0.0,0.0,M296881303,0.0,0.0,0,0
19,CASH_OUT,372609.47,C1662858561,0.0,0.0,C1913640672,768370.21,1140979.69,0,0
252,TRANSFER,870005.6,C1884892591,0.0,0.0,C1055264897,1456003.19,2326008.8,0,0
281,CASH_IN,77456.95,C1498916307,5091.0,82547.95,C1323973618,333413.19,255956.24,0,0
335,TRANSFER,469729.9,C1168337566,0.0,0.0,C928771481,6663595.84,7133325.74,0,0
661,PAYMENT,2850.54,C1666088292,12798.0,9947.46,M1691998864,0.0,0.0,0,0
205,CASH_OUT,114213.24,C1612908070,79909.0,0.0,C1726015363,375701.1,489914.34,0,0
301,CASH_IN,357696.94,C1572201965,351580.0,709276.94,C2114001576,647400.04,289703.1,0,0
136,TRANSFER,217843.2,C995422404,0.0,0.0,C1019554569,4462848.33,4864424.74,0,0
13,CASH_IN,377145.73,C1724753938,9402751.32,9779897.05,C798731138,580752.6,203606.87,0,0
298,TRANSFER,1554257.49,C1182911139,0.0,0.0,C713364117,5204215.6,6758473.09,0,0
16,PAYMENT,4154.8,C351124201,0.0,0.0,M1918399703,0.0,0.0,0,0
19,CASH_OUT,368520.63,C1947926145,92331.0,0.0,C1703860364,5529.18,374049.81,0,0
300,CASH_OUT,211985.88,C1949509807,174753.0,0.0,C1072897246,140928.1,352913.97,0,0
325,DEBIT,5969.92,C663143360,0.0,0.0,C1523351795,4205871.62,4211841.54,0,0
323,PAYMENT,63065.39,C2060241984,0.0,0.0,M1939345333,0.0,0.0,0,0
12,CASH_IN,259566.94,C1693826912,102794.0,362360.94,C1459506515,0.0,0.0,0,0
15,CASH_OUT,180234.6,C606495016,26610.0,0.0,C1229557669,0.0,180234.6,0,0
